1;2;3;4;6;7;8;9;10;11;12;13;14
NES;1998;17/02/1998;10:00;17/02/1998;20:00;68, -26º;1;2;(-BA -BT);4.679;9.901;135.67º
NWS;1998;18/02/1998;23:00;19/02/1998;11:00;255º, 13º;1;1;(+BA -BT);3.161;8.117;97.48º
SEN;1998;04/03/1998;14:00;06/03/1998;03:00;119º, 18º;1;2;(-BA +BT);14.727;15.558;146.22º
NOT;1998;25/03/1998;13:00;26/03/1998;10:00;NOT;0;0;NOT;*;*;*
NOT;1998;02/05/1998;12:00;03/05/1998;16:00;NOT;0;0;NOT;*;*;*
ENW;1998;02/06/1998;11:00;02/06/1998;17:00;NOT;0;0;NOT;*;*;*
SWN;1998;14/06/1998;02:00;15/06/1998;00:00;254º , -19º;2;2;(+BA -BT);4.409;10.160;101.93
SEN;1998;24/06/1998;17:00;25/06/1998;15:00;164º, 10º;1;2;(-BA +BT);2.918;7.274;112.43º
WNE;1998;01/08/1998;20:00;02/08/1998;07:00;211º, 77º;2;2;(+BA +BT);3.212;8.245;132.85º
NOT;1998;05/08/1998;13:00;06/08/1998;12:00;NOT;0;0;NOT;*;*;*
ENW;1998;12/08/1998;04:00;12/08/1998;16:00;147º, 65º;1;1;(-BA +BT);2.703;7.062;127.18º
SWN;1998;20/08/1998;10:00;21/08/1998;20:00;290º, 19º;1;1;(-BA +BT);17.257;16.544;98.00º
NES;1998;23/09/1998;05:00;23/09/1998;15:00;119º, -43º;1;2;(-BA +BT);2.712;6.761;110.12º
ESW;1998;25/09/1998;07:00;26/09/1998;15:00;175º, -49º;0;2;NOT;23.257;15.838;113.51º
WSE;1998;19/10/1998;04:00;19/10/1998;17:00;252º, -47º;0;1;NOT;3.059;6.234;116.46º
NOT;1998;07/11/1998;22:00;09/11/1998;01:00;NOT;0;0;;;;
ESW;1998;08/11/1998;23:00;10/11/1998;00:00;71º, -52º;1;1;NOT;1.920;90;167.09
ESW;1998;13/11/1998;04:00;14/11/1998;00:00;47º , -68º;1;2;(+BA -BT);2.883;7.443;126.57º
NES;1999;16/02/1999;21:00;17/02/1999;03:00;119º, 12º;2;2;(+BA +BT);2.713;7.086;98.19º
NWS;1999;18/02/1999;14:00;19/02/1999;07:00;NOT;0;0;NOT;*;*;*
NES;1999;19/03/1999;15:00;20/03/1999;21:00;70º, 23º;1;1;(-BA +BT);11.658;14.823;95.67º
WSE;1999;16/04/1999;22:00;17/04/1999;18:00;144º -67º;0;1;NOT;13.402;13.615;150.16º
SEN;1999;21/04/1999;12:00;21/04/1999;15:00;50º, -34º;2;2;(-BA -BT);1.956;4.815;100.12
NOT;1999;02/06/1999;00:00;03/06/1999;10:00;NOT;0;0;NOT;*;*;*
WNE;1999;06/07/1999;21:00;07/07/1999;03:00;139º, 51º;2;2;(+BA +BT);2.768;7.037;142.11º
NWS;1999;01/08/1999;03:00;02/08/1999;06:00;261º, 27º;1;1;(-BA +BT);4.515;7.791;119.73º
ENW;1999;09/08/1999;10:00;10/08/1999;14:00;295º, 73º;0;2;NOT;5.704;11.485;145.12º
ESW;1999;22/08/1999;12:00;23/08/1999;06:00;98º , -59º;0;2;NOT;3.964;9.562;123.73º
SEN;1999;21/09/1999;20:00;22/09/1999;10:00;81º, -21º;0;2;(-BA +BT);2.199;5.234;102.62º
NES;1999;14/11/1999;01:00;14/11/1999;07:00;NOT;0;0;NOT;;;
NOT;1999;27/12/1999;11:00;28/12/1999;04:00;NOT;0;0;NOT;;;
NOT;2000;22/01/2000;17:00;23/01/2000;02:00;NOT;0;0;NOT;NOT;NOT;NOT
NES;2000;12/02/2000;17:00;13/02/2000;00:00;163º, 19º;2;1;(-BA -BT);3.781;9.254;91.30º
WNE;2000;21/02/2000;15:00;22/02/2000;11:00;166º, 59º;2;2;NOT;2.885;7.511;110.33º
SWN;2000;07/04/2000;03:00;08/04/2000;09:00;305º, 39º;1;2;(-BA +BT);6.140;9.146;97.03º
NOT;2000;18/04/2000;19:00;19/04/2000;01:00;NOT;0;0;NOT;;;
NOT;2000;16/05/2000;23:00;17/05/2000;07:00;NOT;0;0;NOT;;;
NES;2000;24/05/2000;22:00;25/05/2000;10:00;111º, -33º;2;1;(+BA -BT);2.885;7.489;131.17º
SEN;2000;11/06/2000;09:00;11/06/2000;17:00;134º, -4º;1;1;(+BA -BT);12.135;15.015;128.96º
NES;2000;18/06/2000;10:00;18/06/2000;17:00;112º, -2º;2;2;(-BA -BT);4.182;9.506;124.15º
NOT;2000;24/06/2000;00:00;26/06/2000;08:00;NOT;0;0;NOT;;;NOT
ENW;2000;01/07/2000;09:00;02/07/2000;00:00;168º, 54º;1;2;(-BA +BT);3.192;7.828;113.52º
SEN;2000;12/07/2000;00:00;13/07/2000;02:00;21º, 16º;2;1;(+BA +BT);2.636;6.937;102.65º
NOT;2000;13/07/2000;13:00;14/07/2000;00:00;NOT;0;0;NOT;;;
SWN;2000;14/07/2000;16:00;15/07/2000;13:00;299º, 3º;1;1;(+BA +BT);2.375;4.678;114.20º
SEN;2000;15/07/2000;19:00;16/07/2000;12:00;57º, 27º;2;1;(+BA +BT);5.716;9.522;125.05º
NOT;2000;27/07/2000;02:00;28/07/2000;02:00;NOT;0;0;NOT;;;
NOT;2000;28/07/2000;18:00;29/07/2000;09:00;309º, 8º;1;1;(-BA +BT);1.752;171;143.43º
NOT;2000;10/08/2000;20:00;11/08/2000;06:00;NOT;0;0;NOT;;;
SEN;2000;12/08/2000;05:00;13/08/2000;00:00;92º, -7º;1;2;(-BA -BT);5.171;10.027;116.43º
NOT;2000;18/09/2000;00:00;18/09/2000;14:00;NOT;0;0;NOT;;;
NES;2000;03/10/2000;16:00;04/10/2000;13:00;53º, 29º;2;1;(+BA -BT);9.001;14.013;147.81º
WNE;2000;06/10/2000;01:00;06/10/2000;15:00;137º, 68º;0;2;(+BA +BT);2.367;6.114;90.76º
NES;2000;13/10/2000;16:00;14/10/2000;05:00;50º, 4º;1;1;(+BA +BT);4.858;10.423;99.23º
SEN;2000;29/10/2000;02:00;29/10/2000;14:00;NOT;0;0;NOT;;;
SEN;2000;06/11/2000;23:00;07/11/2000;15:00;107º, -13º;1;2;(-BA -BT);3.903;8.929;111.61º
NOT;2000;08/11/2000;13:00;09/11/2000;15:00;NOT;0;0;NOT;;;
SEN;2000;29/11/2000;07:00;29/11/2000;20:00;61º, -27º;1;1;(+BA +BT);4.630;8.468;92.74º
NOT;2001;24/01/2001;09:00;26/01/2001;07:00;NOT;0;0;NOT;;;
ESW;2001;04/03/2001;16:00;05/03/2001;01:00;NOT;0;0;NOT;1.565;3.227;94.81º
WSE;2001;19/03/2001;20:00;20/03/2001;23:00;215º, -51º;0;1;(+BA +BT);26.231;17.966;156.65º
SEN;2001;20/03/2001;23:00;22/03/2001;11:00;39º, -26º;2;1;(+BA -BT);3.088;7.991;148.90º
SEN;2001;27/03/2001;22:00;28/03/2001;05:00;177º, 13º;1;1;(+BA +BT);2.312;5.266;92.80º
NOT;2001;31/03/2001;05:00;31/03/2001;22:00;NOT;0;0;NOT;;;
SEN;2001;01/04/2001;06:00;01/04/2001;12:00;110º, 14º;2;1;(+BA +BT);6.576;12.232;144.59º
NOT;2001;04/04/2001;18:00;05/04/2001;12:00;NOT;0;0;NOT;;;
WNE;2001;12/04/2001;07:00;13/04/2001;16:00;313º, 65º;2;2;(+BA +BT);2.958;7.277;97.86º
WSE;2001;22/04/2001;00:00;23/04/2001;00:00;96º, -59º;0;1;(+BA +BT);8.669;12.673;167.38º
SEN;2001;29/04/2001;01:00;29/04/2001;13:00;122º, 10º;2;1;(+BA +BT);7.804;12.559;126.78º
