1;2;3;4;5;6;7;8;9;10;11;12;13;14
0;NES;1998;17/02/1998;10:00;17/02/1998;20:00;68, -26º;1;2;(-BA -BT);4.679;9.901;135.67º
1;NWS;1998;18/02/1998;23:00;19/02/1998;11:00;255º, 13º;1;1;(+BA -BT);3.161;8.117;97.48º
2;SEN;1998;04/03/1998;14:00;06/03/1998;03:00;119º, 18º;1;2;(-BA +BT);14.727;15.558;146.22º
3;NOT;1998;25/03/1998;13:00;26/03/1998;10:00;NOT;0;0;NOT;*;*;*
4;NOT;1998;02/05/1998;12:00;03/05/1998;16:00;NOT;0;0;NOT;*;*;*
5;ENW;1998;02/06/1998;11:00;02/06/1998;17:00;NOT;0;0;NOT;*;*;*
6;SWN;1998;14/06/1998;02:00;15/06/1998;00:00;254º , -19º;2;2;(+BA -BT);4.409;10.160;101.93
7;SEN;1998;24/06/1998;17:00;25/06/1998;15:00;164º, 10º;1;2;(-BA +BT);2.918;7.274;112.43º
8;WNE;1998;01/08/1998;20:00;02/08/1998;07:00;211º, 77º;2;2;(+BA +BT);3.212;8.245;132.85º
9;NOT;1998;05/08/1998;13:00;06/08/1998;12:00;NOT;0;0;NOT;*;*;*
10;ENW;1998;12/08/1998;04:00;12/08/1998;16:00;147º, 65º;1;1;(-BA +BT);2.703;7.062;127.18º
11;SWN;1998;20/08/1998;10:00;21/08/1998;20:00;290º, 19º;1;1;(-BA +BT);17.257;16.544;98.00º
12;NES;1998;23/09/1998;05:00;23/09/1998;15:00;119º, -43º;1;2;(-BA +BT);2.712;6.761;110.12º
13;ESW;1998;25/09/1998;07:00;26/09/1998;15:00;175º, -49º;0;2;NOT;23.257;15.838;113.51º
14;WSE;1998;19/10/1998;04:00;19/10/1998;17:00;252º, -47º;0;1;NOT;3.059;6.234;116.46º
15;NOT;1998;07/11/1998;22:00;09/11/1998;01:00;NOT;0;0;;;;
16;ESW;1998;08/11/1998;23:00;10/11/1998;00:00;71º, -52º;1;1;NOT;1.920;90;167.09
17;ESW;1998;13/11/1998;04:00;14/11/1998;00:00;47º , -68º;1;2;(+BA -BT);2.883;7.443;126.57º
18;NES;1999;16/02/1999;21:00;17/02/1999;03:00;119º, 12º;2;2;(+BA +BT);2.713;7.086;98.19º
19;NWS;1999;18/02/1999;14:00;19/02/1999;07:00;NOT;0;0;NOT;*;*;*
20;NES;1999;19/03/1999;15:00;20/03/1999;21:00;70º, 23º;1;1;(-BA +BT);11.658;14.823;95.67º
21;WSE;1999;16/04/1999;22:00;17/04/1999;18:00;144º -67º;0;1;NOT;13.402;13.615;150.16º
22;SEN;1999;21/04/1999;12:00;21/04/1999;15:00;50º, -34º;2;2;(-BA -BT);1.956;4.815;100.12
23;NOT;1999;02/06/1999;00:00;03/06/1999;10:00;NOT;0;0;NOT;*;*;*
24;WNE;1999;06/07/1999;21:00;07/07/1999;03:00;139º, 51º;2;2;(+BA +BT);2.768;7.037;142.11º
25;NWS;1999;01/08/1999;03:00;02/08/1999;06:00;261º, 27º;1;1;(-BA +BT);4.515;7.791;119.73º
26;ENW;1999;09/08/1999;10:00;10/08/1999;14:00;295º, 73º;0;2;NOT;5.704;11.485;145.12º
27;ESW;1999;22/08/1999;12:00;23/08/1999;06:00;98º , -59º;0;2;NOT;3.964;9.562;123.73º
28;SEN;1999;21/09/1999;20:00;22/09/1999;10:00;81º, -21º;0;2;(-BA +BT);2.199;5.234;102.62º
29;NES;1999;14/11/1999;01:00;14/11/1999;07:00;NOT;0;0;NOT;;;
30;NOT;1999;27/12/1999;11:00;28/12/1999;04:00;NOT;0;0;NOT;;;
31;NOT;2000;22/01/2000;17:00;23/01/2000;02:00;NOT;0;0;NOT;NOT;NOT;NOT
